Page URL,Page Type,Primary Keyword,Search Intent,SEO Title,Meta Description,H1,Canonical,Schema Type,Status,Needs University Input
/,Home,SMRU Hyderabad,Branded,"SMRU Hyderabad | St. Mary's Rehabilitation University","Official website of St. Mary's Rehabilitation University, Hyderabad. Explore 2026 admissions, specialized rehabilitation programs, and 30 years of academic legacy.","St. Mary's Rehabilitation University",https://smru.edu.in/,University,Complete,No
/schools,Directory,Colleges in Hyderabad,Informational,"Academic Schools & Colleges in Hyderabad | SMRU","Explore our 7 specialized schools offering over 150 academic pathways in rehabilitation, allied health, and professional sciences in Hyderabad.","Academic Schools & Colleges",https://smru.edu.in/schools,CollectionPage,Complete,No
/admissions,Landing,Admissions 2026,Transactional,"Admissions 2026-27 | Apply to SMRU Hyderabad","Official admissions portal for St. Mary's Rehabilitation University. Start your application for UG, PG, and PhD programs in rehabilitation sciences.","Admissions 2026-27",https://smru.edu.in/admissions,WebPage,Complete,No
/university-in-telangana,Local,University in Telangana,Informational,"University in Telangana | SMRU State Private University","St. Mary's Rehabilitation University is a leading state private university in Telangana for rehabilitation and health sciences.","University in Telangana",https://smru.edu.in/university-in-telangana,Place,Complete,No
/physiotherapy-college-in-telangana,Local,Physiotherapy College in Telangana,Informational,"Physiotherapy College in Telangana | BPT & MPT | SMRU","Top-ranked physiotherapy college in Telangana offering industry-integrated BPT and MPT programs with specialized clinical tracks.","Physiotherapy College in Telangana",https://smru.edu.in/physiotherapy-college-in-telangana,Place,Complete,No
/baslp-college-in-hyderabad,Local,BASLP College in Hyderabad,Informational,"BASLP College in Hyderabad | Speech & Hearing | SMRU","Premier BASLP and Audiology institute in Hyderabad, Telangana. RCI-approved curriculum and advanced clinical training.","BASLP College in Hyderabad",https://smru.edu.in/baslp-college-in-hyderabad,Place,Complete,No
/campus-near-ramoji-film-city,Local,Campus Near Ramoji Film City,Informational,"Campus Near Ramoji Film City | SMRU Location Guide","SMRU Deshmukhi Campus location guide and directions near Ramoji Film City, Hyderabad. Access and transport information.","Campus Near Ramoji Film City",https://smru.edu.in/campus-near-ramoji-film-city,Place,Complete,No
/approvals-recognitions,Trust,SMRU UGC Status,Informational,"Approvals & Recognitions | Statutory Disclosure | SMRU","Official approvals, recognitions, and regulatory disclosure for St. Mary's Rehabilitation University. Verified compliance records.","Approvals & Recognitions",https://smru.edu.in/approvals-recognitions,WebPage,Complete,Yes
/phd-admissions,Landing,PhD Admissions 2026,Transactional,"PhD Admissions 2026-27 | Doctoral Research | SMRU","Apply for PhD admissions at St. Mary's Rehabilitation University. Research pathways in clinical psychology, physiotherapy, and rehab sciences.","PhD Admissions 2026-27",https://smru.edu.in/phd-admissions,WebPage,Complete,No
/schools/rehabilitation-sciences,School,School of Rehabilitation Sciences,Informational,"School of Rehabilitation Sciences | SMRU Hyderabad","Leading school for BASLP, BOT, and Special Education programs. Advanced clinical labs and research-driven pedagogy.","School of Rehabilitation Sciences",https://smru.edu.in/schools/rehabilitation-sciences,EducationalOrganization,Complete,No
/contact,Contact,SMRU Contact Hyderabad,Informational,"Contact SMRU Hyderabad | Location & Admissions Desk","Get in touch with St. Mary's Rehabilitation University. Campus location, admissions helpdesk, and regional headquarters details.","Contact SMRU",https://smru.edu.in/contact,ContactPage,Complete,No
/schools/law,School,Law College in Hyderabad,Informational,"School of Law | SMRU Hyderabad | Integrated LLB Programs","Explore the School of Law at SMRU Hyderabad. Offering B.A. LL.B., B.B.A. LL.B., and B.Sc. LL.B. (Hons) with specialized training in AI Regulation & Forensic Jurisprudence.","School of Law",https://smru.edu.in/schools/law,EducationalOrganization,Complete,No
